"Uke";"Dag";"Måltid";"Kategori";"Rett"
"2";"Søndag";"Lunch";"Kjott";"Pizza med pepperoni, kylling og storfe"
"2";"Søndag";"Middag";"Fisk";"Risotto med Scampi"
"2";"Søndag";"Middag";"Kjott";"Svinenakke sesongens grønnsaker og fløtegratinerte poteter"
"2";"Søndag";"Middag";"Suppe";"Blomkålsuppe"
"3";"Mandag";"Lunch";"Fisk";"Brandad med lettsaltet torsk"
"3";"Mandag";"Lunch";"Kjott";"Pølsefest bratwurst, ostepølse, el."
"3";"Mandag";"Lunch";"Suppe";"Ristet rotgrønnsaksuppe"
"3";"Mandag";"Middag";"Fisk";"Røkt torsk med eggesmør og stuet gulrot"
"3";"Mandag";"Middag";"Kjott";"Okseteik av høyrygg med fløtesaus rosmarinpoteter"
"3";"Mandag";"Middag";"Suppe";"Rødbetsuppe"
"3";"Tirsdag";"Lunch";"Fisk";"Grove fiskekarbonader med fennikelsalat, dillpotet og remulade"
"3";"Tirsdag";"Lunch";"Kjott";"Stekt ris med kylling"
"3";"Tirsdag";"Lunch";"Suppe";"Tom kah gai"
"3";"Tirsdag";"Middag";"Fisk";"Seibiff med rømmesaus"
"3";"Tirsdag";"Middag";"Kjott";"Pulled pork med coleslaw og bakte poteter"
"3";"Tirsdag";"Middag";"Suppe";"Mais og kokos suppe med ingefær"
"3";"Onsdag";"Lunch";"Fisk";"Kokkens dag"
"3";"Onsdag";"Lunch";"Suppe";"Potet og purreløksuppe"
"3";"Onsdag";"Middag";"Fisk";"Bakt torsk med potet gribiche"
"3";"Onsdag";"Middag";"Kjott";"Ingefærlam med ris"
"3";"Onsdag";"Middag";"Suppe";"Potet og purreløksuppe"
"3";"Torsdag";"Lunch";"Fisk";"Fiskegrateng med eggesmør og råkost"
"3";"Torsdag";"Lunch";"Kjott";"Pasta carbonara"
"3";"Torsdag";"Lunch";"Suppe";"Betasuppe"
"3";"Torsdag";"Middag";"Fisk";"Sprøbakt rødspette, remulade, råkost og sitrus potet"
"3";"Torsdag";"Middag";"Kjott";"Kjøttkaker med erterstuing"
"3";"Torsdag";"Middag";"Suppe";"Blomkålsuppe"
"3";"Fredag";"Lunch";"Fisk";"Fiskevariasjon med dillsyltede grønnsaker og sitronhollandaise"
"3";"Fredag";"Lunch";"Kjott";"Sticky svin med grønnsaker og aromaris"
"3";"Fredag";"Lunch";"Suppe";"Gulrot ingefærsuppe"
"3";"Fredag";"Middag";"Fisk";"Blackned Fish Taco"
"3";"Fredag";"Middag";"Kjott";"Tex-Mex | Burritos og tacos (kjøttdeig og fajitakylling)"
"3";"Fredag";"Middag";"Suppe";"Gulrot ingefærsuppe"
"3";"Lørdag";"Lunch";"Fisk";"Urteppanert hvit fisk med stekte poteter"
"3";"Lørdag";"Lunch";"Kjott";"Kyllingfilet med cous cous og tzatziki"
"3";"Lørdag";"Lunch";"Suppe";"Toscansk bondesuppe"
"3";"Lørdag";"Middag";"Fisk";"Ovnsbakt laks med chimichurri, eple-kålsalat og chilimajones"
